Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CE,"Celanese Corp",129.33,-4.35,-3.25%,132.88,129.09,1864300,11/30/20
CERN,"Cerner Corp",74.84,0.74,+1.00%,74.88,73.75,1937900,11/30/20
CF,"Cf Industries Holdings",37.3,-1.47,-3.79%,38.44,37.08,3320300,11/30/20
CFG,"Citizens Financial Group Inc/Ri",32.66,-1.48,-4.34%,34.27,32.58,5330300,11/30/20
CHD,"Church & Dwight Company",87.77,1.5,+1.74%,87.84,85.56,2803000,11/30/20
CHRW,"C.H. Robinson Ww",93.97,1.25,+1.35%,94.04,92.63,2328600,11/30/20
CHTR,"Charter Communicatio",651.99,9.19,+1.43%,655.34,643.04,1178700,11/30/20
CI,"Cigna Corp",209.14,-3.36,-1.58%,212.01,207.75,3792700,11/30/20
CINF,"Cincinnati Financial",76.35,-1.46,-1.88%,78.26,75.5,3184200,11/30/20
CL,"Colgate-Palmolive Company",85.64,0.74,+0.87%,85.66,84.2,4356000,11/30/20
CLX,"Clorox Company",202.96,-0.13,-0.06%,203.35,199.97,2213800,11/30/20
CMA,"Comerica Inc",49.2,-2.29,-4.45%,51.68,49.01,11423300,11/30/20
CMCSA,"Comcast Corp A",50.24,-1.51,-2.92%,51.48,49.84,34359699,11/30/20
CME,"CME Group Inc",175.03,0.26,+0.15%,175.14,172.95,1925400,11/30/20
CMG,"Chipotle Mexican Grill",1289.43,-8.34,-0.64%,1297.68,1264.96,268000,11/30/20
CMI,"Cummins Inc",231.17,2.14,+0.93%,232.2,226.25,2607900,11/30/20
CMS,"Cms Energy Corp",61.54,-0.44,-0.71%,61.98,60.96,3321900,11/30/20
CNC,"Centene Corp",61.65,-1.52,-2.41%,63.28,61.42,4790200,11/30/20
CNP,"Centerpoint Energy Inc",23.19,-0.88,-3.66%,24.13,23.08,9170899,11/30/20
COF,"Capital One Financial Corp",85.64,-2.12,-2.42%,89.95,85.16,4422500,11/30/20
COG,"Cabot Oil & Gas Corp",17.52,-0.25,-1.41%,17.85,17.43,7331900,11/30/20
COO,"Cooper Companies",335.22,-5.49,-1.61%,339.71,329.31,566600,11/30/20
COP,Conocophillips,39.56,-3.22,-7.53%,42.04,39.54,20248299,11/30/20
COST,"Costco Wholesale",391.77,3.38,+0.87%,393.15,385.23,3727000,11/30/20
CPB,"Campbell Soup Company",50.02,1.04,+2.12%,50.04,48.79,2449400,11/30/20
CPRT,"Copart Inc",115.45,0.24,+0.21%,115.65,113.78,2910800,11/30/20
CRM,"Salesforce.com Inc",245.8,-1.83,-0.74%,247.63,236.07,18956199,11/30/20
CSCO,"Cisco Systems Inc",43.02,0.32,+0.75%,43.05,42.41,34739801,11/30/20
CSX,"CSX Corp",90.05,-1.24,-1.36%,91.84,89.96,6642800,11/30/20
CTAS,"Cintas Corp",355.3,-5.79,-1.60%,362.39,354.11,521100,11/30/20
CTLT,"Catalent Inc",96.14,-1.26,-1.29%,99,96,2973500,11/30/20
CTSH,"Cognizant Tech Sol",78.13,-0.28,-0.36%,78.33,77.07,3797900,11/30/20
CTVA,"Corteva Inc",38.32,-0.09,-0.23%,38.59,37.74,4864600,11/30/20
CTXS,"Citrix Systems Inc",123.92,1.48,+1.21%,124.11,121.16,2874500,11/30/20
CVS,"CVS Corp",67.79,-0.08,-0.12%,68.09,67.2,8241200,11/30/20
CVX,"Chevron Corp",87.18,-4.13,-4.52%,90.85,86.9,14287601,11/30/20
CXO,"Concho Resources Inc",57.48,-4.54,-7.32%,61.02,57.43,3598500,11/30/20
D,"Dominion Resources",78.49,-0.55,-0.70%,79.81,78.4,8418200,11/30/20
DAL,"Delta Air Lines Inc",40.25,-0.81,-1.97%,41.05,39.35,16728500,11/30/20
DD,"Du Pont De.Nemours Inc",63.44,-1.1,-1.70%,64.37,63.02,5259600,11/30/20
DE,"Deere & Company",261.62,-0.33,-0.13%,264.23,258.11,2342100,11/30/20
DFS,"Discover Financial Services",76.17,-2.7,-3.42%,79.13,76,3551200,11/30/20
DG,"Dollar General Corp",218.58,0.57,+0.26%,218.94,214.32,2910900,11/30/20
DGX,"Quest Diagnostics Inc",123.98,-0.82,-0.66%,125.99,123.25,1459900,11/30/20
DHI,"D.R. Horton",74.5,-1.48,-1.95%,76.25,73.15,6141400,11/30/20
DHR,"Danaher Corp",224.63,7.85,+3.62%,224.81,219.01,3319500,11/30/20
DIS,"Walt Disney Company",148.01,0.88,+0.60%,148.69,146.29,9709700,11/30/20
DISCA,"Discovery Comm A",26.91,-0.57,-2.07%,27.41,26.72,7719400,11/30/20
DISCK,"Discovery Comm Inc",24.02,-0.53,-2.16%,24.52,23.92,3443100,11/30/20
DISH,"Dish Network Corp",35.87,-0.04,-0.11%,36.01,35.35,3252900,11/30/20
DLR,"Digital Realty Trust",134.75,-1.98,-1.45%,137.07,134.27,2116500,11/30/20
DLTR,"Dollar Tree Inc",109.24,-0.66,-0.60%,109.92,107.89,2186200,11/30/20
DOV,"Dover Corp",122.03,-1.85,-1.49%,123.3,121.03,1025100,11/30/20
DOW,"Dow Inc",53.01,-2.39,-4.31%,55,52.8,8760601,11/30/20
DPZ,"Domino's Pizza Inc",392.57,2.1,+0.54%,393.08,386.1,948800,11/30/20
DRE,"Duke Realty Corp",38.06,-0.33,-0.86%,38.5,37.71,4222500,11/30/20
DRI,"Darden Restaurants",107.98,-1.97,-1.79%,109.25,105.49,2667700,11/30/20
DTE,"Dte Energy Company",125.81,-2.72,-2.12%,129.14,125.43,2370400,11/30/20
DUK,"Duke Energy Corp",92.66,-1.94,-2.05%,94.25,91.94,5012300,11/30/20
DVA,"Davita Healthcare Partners Inc",109.85,-0.03,-0.03%,110.51,109.5,1188400,11/30/20
DVN,"Devon Energy Corp",13.99,-0.79,-5.35%,14.63,13.96,11358699,11/30/20
DXC,"Dxc Technology Company",21.91,-1.37,-5.88%,23.04,21.82,2447300,11/30/20
DXCM,Dexcom,319.68,1.47,+0.46%,321.93,313.38,2212300,11/30/20
EA,"Electronic Arts Inc",127.75,3.58,+2.88%,128.4,123.27,10085200,11/30/20
EBAY,"Ebay Inc",50.43,-0.91,-1.77%,51.23,49.36,10742001,11/30/20
ECL,"Ecolab Inc",222.15,-2.66,-1.18%,224.7,219.46,2060400,11/30/20
ED,"Consolidated Edison Company of New York",76.25,-1.52,-1.95%,77.77,75.92,2605100,11/30/20
EFX,"Equifax Inc",166.9,2.16,+1.31%,167.95,165.06,1117000,11/30/20
EIX,"Edison International",61.36,-1.43,-2.28%,62.43,60.89,2684300,11/30/20
EL,"Estee Lauder Companies",245.32,-0.62,-0.25%,245.98,240.25,3488100,11/30/20
EMN,"Eastman Chemical Company",97.4,-2.5,-2.50%,99.83,97.21,1453900,11/30/20
EMR,"Emerson Electric Company",76.82,-1.34,-1.71%,78,75.97,2724600,11/30/20
